2023-11-02 08:29:54,689 | INFO | MainProcess | MainThread | Projects folder: ./sample_projects/*
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names> -> <Port_List_Int: File>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names>  <Port_Dict: Meta>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names>  <Port_Number: Percent>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names> <--> <Port_Any: Any>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names> -> <Port_Int: Trigger>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names> -> <Port_Int: Time to Event>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names>  <Port_np_compatible: Data NP>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names>  <Port_np_compatible: Data 1>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names>  <Port_np_compatible: Data 2>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names> <--> <Port_Any: Input>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names> <--> <Port_Any: Sync>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names> <--> <Port_stringable: Text>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data>  <Port_Dict: HMM Meta>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data>  <Port_Dict: Hypo States>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data>  <Port_Matrix_Number: Matrix>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data>  <Port_List_Str: Text>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data>  <Port_List_Str: Annotation>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> <--> <Port_Any: Data 1>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> <--> <Port_Any: Data 2>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> -> <Port_Int: Toggle>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> <--> <Port_Any: Data>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> <--> <Port_Data: Stream>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> <--> <Port_Data: Stream_segs>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data>  <Port_Matrix_Number: Sim>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data>  <Port_Matrix_Number: SSM>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> <--> <Port_np_compatible: Trigger 1>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> <--> <Port_np_compatible: Trigger 2>
2023-11-02 08:29:59,886 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> <--> <Port_np_compatible: Trigger>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data>  <Port_ListUnique_Str: Channel Names>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> -> <Port_List_Int: File>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data>  <Port_Dict: Meta>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data>  <Port_Number: Percent>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> <--> <Port_Any: Any>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> -> <Port_Int: Trigger>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> -> <Port_Int: Time to Event>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> <--> <Port_np_compatible: Data NP>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> <--> <Port_np_compatible: Data 1>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> <--> <Port_np_compatible: Data 2>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> <--> <Port_Any: Input>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> <--> <Port_Any: Sync>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Data: Data> -> <Port_stringable: Text>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta> <--> <Port_Dict: Hypo States>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta>  <Port_Matrix_Number: Matrix>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta>  <Port_List_Str: Text>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta>  <Port_List_Str: Annotation>
2023-11-02 08:29:59,887 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta> -> <Port_Any: Data 1>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta> -> <Port_Any: Data 2>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta> -> <Port_Int: Toggle>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta> -> <Port_Any: Data>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta>  <Port_Data: Stream>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta>  <Port_Data: Stream_segs>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta>  <Port_Matrix_Number: Sim>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta>  <Port_Matrix_Number: SSM>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta>  <Port_np_compatible: Trigger 1>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta>  <Port_np_compatible: Trigger 2>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta>  <Port_np_compatible: Trigger>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta>  <Port_ListUnique_Str: Channel Names>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta>  <Port_List_Int: File>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta> <--> <Port_Dict: Meta>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta>  <Port_Number: Percent>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta> -> <Port_Any: Any>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta> -> <Port_Int: Trigger>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta> -> <Port_Int: Time to Event>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta>  <Port_np_compatible: Data NP>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta>  <Port_np_compatible: Data 1>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta>  <Port_np_compatible: Data 2>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta> -> <Port_Any: Input>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta> -> <Port_Any: Sync>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: HMM Meta> -> <Port_stringable: Text>
2023-11-02 08:29:59,888 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States>  <Port_Matrix_Number: Matrix>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States>  <Port_List_Str: Text>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States>  <Port_List_Str: Annotation>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States> -> <Port_Any: Data 1>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States> -> <Port_Any: Data 2>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States> -> <Port_Int: Toggle>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States> -> <Port_Any: Data>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States>  <Port_Data: Stream>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States>  <Port_Data: Stream_segs>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States>  <Port_Matrix_Number: Sim>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States>  <Port_Matrix_Number: SSM>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States>  <Port_np_compatible: Trigger 1>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States>  <Port_np_compatible: Trigger 2>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States>  <Port_np_compatible: Trigger>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States>  <Port_ListUnique_Str: Channel Names>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States>  <Port_List_Int: File>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States> <--> <Port_Dict: Meta>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States>  <Port_Number: Percent>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States> -> <Port_Any: Any>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States> -> <Port_Int: Trigger>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States> -> <Port_Int: Time to Event>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States>  <Port_np_compatible: Data NP>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States>  <Port_np_compatible: Data 1>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States>  <Port_np_compatible: Data 2>
2023-11-02 08:29:59,889 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States> -> <Port_Any: Input>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States> -> <Port_Any: Sync>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Dict: Hypo States> -> <Port_stringable: Text>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix>  <Port_List_Str: Text>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix>  <Port_List_Str: Annotation>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> <--> <Port_Any: Data 1>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> <--> <Port_Any: Data 2>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> -> <Port_Int: Toggle>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> <--> <Port_Any: Data>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix>  <Port_Data: Stream>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix>  <Port_Data: Stream_segs>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> <--> <Port_Matrix_Number: Sim>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> <--> <Port_Matrix_Number: SSM>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> -> <Port_np_compatible: Trigger 1>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> -> <Port_np_compatible: Trigger 2>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> -> <Port_np_compatible: Trigger>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix>  <Port_ListUnique_Str: Channel Names>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> -> <Port_List_Int: File>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix>  <Port_Dict: Meta>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix>  <Port_Number: Percent>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> <--> <Port_Any: Any>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> -> <Port_Int: Trigger>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> -> <Port_Int: Time to Event>
2023-11-02 08:29:59,890 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> -> <Port_np_compatible: Data NP>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> -> <Port_np_compatible: Data 1>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> -> <Port_np_compatible: Data 2>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> <--> <Port_Any: Input>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> <--> <Port_Any: Sync>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Number: Matrix> -> <Port_stringable: Text>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text> <--> <Port_List_Str: Annotation>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text> <--> <Port_Any: Data 1>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text> <--> <Port_Any: Data 2>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text> -> <Port_Int: Toggle>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text> <--> <Port_Any: Data>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text>  <Port_Data: Stream>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text>  <Port_Data: Stream_segs>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text>  <Port_Matrix_Number: Sim>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text>  <Port_Matrix_Number: SSM>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text>  <Port_np_compatible: Trigger 1>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text>  <Port_np_compatible: Trigger 2>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text>  <Port_np_compatible: Trigger>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text> <--> <Port_ListUnique_Str: Channel Names>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text> -> <Port_List_Int: File>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text>  <Port_Dict: Meta>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text>  <Port_Number: Percent>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text> <--> <Port_Any: Any>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text> -> <Port_Int: Trigger>
2023-11-02 08:29:59,891 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text> -> <Port_Int: Time to Event>
2023-11-02 08:29:59,892 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text>  <Port_np_compatible: Data NP>
2023-11-02 08:29:59,892 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text>  <Port_np_compatible: Data 1>
2023-11-02 08:29:59,892 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text>  <Port_np_compatible: Data 2>
2023-11-02 08:29:59,892 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text> <--> <Port_Any: Input>
2023-11-02 08:29:59,892 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text> <--> <Port_Any: Sync>
2023-11-02 08:29:59,892 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Text> <--> <Port_stringable: Text>
2023-11-02 08:29:59,892 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Annotation> <--> <Port_Any: Data 1>
2023-11-02 08:29:59,892 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Annotation> <--> <Port_Any: Data 2>
2023-11-02 08:29:59,892 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Annotation> -> <Port_Int: Toggle>
2023-11-02 08:29:59,892 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Annotation> <--> <Port_Any: Data>
